(tensor(0.9872, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4068, device='cuda:0', grad_fn=<AddBackward0>), 0)
(tensor(5.0732, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5685, device='cuda:0', grad_fn=<AddBackward0>), 10)
(tensor(2.5511, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7930, device='cuda:0', grad_fn=<AddBackward0>), 20)
(tensor(2.2339, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6227, device='cuda:0', grad_fn=<AddBackward0>), 30)
(tensor(3.3171, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5587, device='cuda:0', grad_fn=<AddBackward0>), 40)
(tensor(2.4392, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4981, device='cuda:0', grad_fn=<AddBackward0>), 50)
(tensor(2.1829, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7966, device='cuda:0', grad_fn=<AddBackward0>), 60)
(tensor(2.6376, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4698, device='cuda:0', grad_fn=<AddBackward0>), 70)
(tensor(2.3754, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4599, device='cuda:0', grad_fn=<AddBackward0>), 80)
(tensor(2.5767, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6317, device='cuda:0', grad_fn=<AddBackward0>), 90)
(tensor(1.7042, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9686, device='cuda:0', grad_fn=<AddBackward0>), 100)
(tensor(1.6595, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6690, device='cuda:0', grad_fn=<AddBackward0>), 110)
(tensor(1.5358, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0635, device='cuda:0', grad_fn=<AddBackward0>), 120)
(tensor(1.9909, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4739, device='cuda:0', grad_fn=<AddBackward0>), 130)
(tensor(2.4447, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7886, device='cuda:0', grad_fn=<AddBackward0>), 140)
(tensor(2.4475, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8101, device='cuda:0', grad_fn=<AddBackward0>), 150)
(tensor(2.1526, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4507, device='cuda:0', grad_fn=<AddBackward0>), 160)
(tensor(1.8470, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7354, device='cuda:0', grad_fn=<AddBackward0>), 170)
(tensor(2.1504, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7930, device='cuda:0', grad_fn=<AddBackward0>), 180)
(tensor(1.6223, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5571, device='cuda:0', grad_fn=<AddBackward0>), 190)
(tensor(1.4025, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8305, device='cuda:0', grad_fn=<AddBackward0>), 200)
(tensor(2.3771, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8095, device='cuda:0', grad_fn=<AddBackward0>), 210)
(tensor(1.4781, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8421, device='cuda:0', grad_fn=<AddBackward0>), 220)
(tensor(1.3773, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5751, device='cuda:0', grad_fn=<AddBackward0>), 230)
(tensor(0.9162, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8924, device='cuda:0', grad_fn=<AddBackward0>), 240)
(tensor(1.7450, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7840, device='cuda:0', grad_fn=<AddBackward0>), 250)
(tensor(0.2729, device='cuda:0', grad_fn=<MeanBackward0>), tensor(2.0453, device='cuda:0', grad_fn=<AddBackward0>), 260)
(tensor(1.6517, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6903, device='cuda:0', grad_fn=<AddBackward0>), 270)
(tensor(2.5942, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5647, device='cuda:0', grad_fn=<AddBackward0>), 280)
(tensor(1.7554, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6035, device='cuda:0', grad_fn=<AddBackward0>), 290)
(tensor(0.8749, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0253, device='cuda:0', grad_fn=<AddBackward0>), 300)
(tensor(1.4379, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3367, device='cuda:0', grad_fn=<AddBackward0>), 310)
(tensor(1.0308, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8527, device='cuda:0', grad_fn=<AddBackward0>), 320)
(tensor(1.4112, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7500, device='cuda:0', grad_fn=<AddBackward0>), 330)
(tensor(1.4861, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0853, device='cuda:0', grad_fn=<AddBackward0>), 340)
(tensor(1.0692, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0424, device='cuda:0', grad_fn=<AddBackward0>), 350)
